CustomerID,CompanyName,CustomerRevenue,TotalRevenue,RevenueSharePct,RevenueShareSq,HHI_Contribution,AccumulatedSharePct,CustomerSegment
QUICK,QUICK-Stop,110277.30497741699,1265793.0396184921,8.712111816530006,0.007590089230372177,75.90089230372176,8.712111816530006,TOP 10%
ERNSH,Ernst Handel,104874.97871398926,1265793.0396184921,8.285318012619062,0.006864649457022987,68.64649457022986,16.99742982914907,TOP 10%
SAVEA,Save-a-lot Markets,104361.9499206543,1265793.0396184921,8.244787785537895,0.0067976525628554866,67.97652562855487,25.242217614686965,TOP 10%
RATTC,Rattlesnake Canyon Grocery,51097.80033302307,1265793.0396184921,4.036821086362101,0.0016295924483297694,16.295924483297693,29.279038701049068,TOP 10%
HUNGO,Hungry Owl All-Night Grocers,49979.905000686646,1265793.0396184921,3.9485052798007567,0.0015590693944614454,15.590693944614454,33.22754398084982,TOP 10%
HANAR,Hanari Carnes,32841.369941711426,1265793.0396184921,2.5945291934619705,0.0006731581735726425,6.731581735726425,35.8220731743118,TOP 10%
KOENE,Königlich Essen,30908.38398361206,1265793.0396184921,2.44181971429767,0.0005962483517132757,5.962483517132757,38.26389288860947,TOP 10%
FOLKO,Folk och fä HB,29567.562576293945,1265793.0396184921,2.3358923339636597,0.0005456392995870194,5.4563929958701936,40.59978522257313,TOP 10%
MEREP,Mère Paillarde,28872.190299987793,1265793.0396184921,2.280956633217846,0.0005202763162620491,5.20276316262049,42.88074185579098,TOP 10%
WHITC,White Clover Markets,27363.605043411255,1265793.0396184921,2.161775597348726,0.0004673273733292442,4.673273733292442,45.04251745313971,MIDDLE 40%
FRANK,Frankenversand,26656.55938720703,1265793.0396184921,2.1059176779200235,0.00044348892661760634,4.4348892661760635,47.148435131059735,MIDDLE 40%
QUEEN,Queen Cozinha,25717.49751663208,1265793.0396184921,2.0317300468316124,0.00041279269831983863,4.127926983198386,49.18016517789135,MIDDLE 40%
BERGS,Berglunds snabbköp,24927.57746887207,1265793.0396184921,1.9693248966185815,0.00038782405484417867,3.8782405484417866,51.14949007450993,MIDDLE 40%
SUPRD,Suprêmes délices,24088.779975891113,1265793.0396184921,1.903058337495001,0.0003621631035909237,3.6216310359092367,53.05254841200493,MIDDLE 40%
PICCO,Piccolo und mehr,23128.86003112793,1265793.0396184921,1.8272228798239347,0.00033387434525520735,3.3387434525520736,54.87977129182887,MIDDLE 40%
HILAA,HILARION-Abastos,22768.763988494873,1265793.0396184921,1.7987746239588536,0.0003235590147798315,3.235590147798315,56.67854591578772,MIDDLE 40%
BONAP,Bon app',21963.25242614746,1265793.0396184921,1.7351377151486904,0.0003010702890531418,3.0107028905314177,58.41368363093641,MIDDLE 40%
BOTTM,Bottom-Dollar Markets,20801.600021362305,1265793.0396184921,1.6433650186314719,0.0002700648584461618,2.700648584461618,60.05704864956788,MIDDLE 40%
RICSU,Richter Supermarkt,19343.77889060974,1265793.0396184921,1.5281944429430518,0.00023353782554420244,2.3353782554420244,61.585243092510936,MIDDLE 40%
LEHMS,Lehmanns Marktstand,19261.410011291504,1265793.0396184921,1.5216871485639438,0.0002315531778104666,2.315531778104666,63.10693024107488,MIDDLE 40%
BLONP,Blondesddsl père et fils,18534.07997894287,1265793.0396184921,1.4642267257630845,0.00021439599044388835,2.1439599044388835,64.57115696683796,MIDDLE 40%
GREAL,Great Lakes Food Market,18507.449966430664,1265793.0396184921,1.4621229053375722,0.00021378033903127831,2.1378033903127833,66.03327987217553,MIDDLE 40%
SIMOB,Simons bistro,16817.09752559662,1265793.0396184921,1.3285819244720498,0.00017651299300338555,1.7651299300338554,67.36186179664757,MIDDLE 40%
LINOD,LINO-Delicateses,16476.56502532959,1265793.0396184921,1.3016792247724478,0.00016943688042042005,1.6943688042042004,68.66354102142002,MIDDLE 40%
SEVES,Seven Seas Imports,16215.325061798096,1265793.0396184921,1.2810407826768717,0.0001641065486881372,1.641065486881372,69.94458180409688,MIDDLE 40%
LILAS,LILA-Supermercado,16076.599990844727,1265793.0396184921,1.2700812445366412,0.00016131063677237432,1.6131063677237432,71.21466304863353,MIDDLE 40%
VAFFE,Vaffeljernet,15843.924819946289,1265793.0396184921,1.25169947408793,0.00015667515734320002,1.566751573432,72.46636252272145,MIDDLE 40%
WARTH,Wartian Herkku,15648.702564239502,1265793.0396184921,1.2362765534684876,0.0001528379716655922,1.528379716655922,73.70263907618994,MIDDLE 40%
OLDWO,Old World Delicatessen,15177.462493896484,1265793.0396184921,1.1990477130819859,0.00014377154182471406,1.4377154182471406,74.90168678927192,MIDDLE 40%
EASTC,Eastern Connection,14761.03500366211,1265793.0396184921,1.1661491682803897,0.0001359903882681045,1.359903882681045,76.0678359575523,MIDDLE 40%
AROUT,Around the Horn,13390.650009155273,1265793.0396184921,1.0578862096754138,0.00011191232326214135,1.1191232326214136,77.12572216722772,MIDDLE 40%
OTTIK,Ottilies Käseladen,12496.199989318848,1265793.0396184921,0.9872229976146165,9.746092470191892E-05,0.9746092470191893,78.11294516484234,MIDDLE 40%
RICAR,Ricardo Adocicados,12450.800018310547,1265793.0396184921,0.9836363156225917,9.675404014115868E-05,0.9675404014115868,79.09658148046493,MIDDLE 40%
CHOPS,Chop-suey Chinese,12348.880012512207,1265793.0396184921,0.9755844459560417,9.517650111913569E-05,0.9517650111913569,80.07216592642098,MIDDLE 40%
